Full.Journal.Title	1997	1997_SCIE_SSCI	1998	1998_SCIE_SSCI	1999	1999_SCIE_SSCI	2000	2000_SCIE_SSCI	2001	2001_SCIE_SSCI	2002	2002_SCIE_SSCI	2003	2003_SCIE_SSCI	2004	2004_SCIE_SSCI	2005	2005_SCIE_SSCI	2006	2006_SCIE_SSCI	2007	2007_SCIE_SSCI	2008	2008_SCIE_SSCI	2009	2009_SCIE_SSCI	2010	2010_SCIE_SSCI	2011	2011_SCIE_SSCI	2012	2012_SCIE_SSCI	2013	2013_SCIE_SSCI	2014	2014_SCIE_SSCI	2015	2015_SCIE_SSCI	2016	2016_SCIE_SSCI	2017	2017_SCIE_SSCI
disease markers	169	169	165	165	202	202	203	203	224	224	256	256	324	324	391	391	496	496	583	583	611	611	659	659	790	790	879	879	943	943	1245	1245	1401	1401	1580	1580	1953	1953	2585	2585	3183	3183
fluoride	178	178	137	137	104	104	195	195	167	167	250	250	295	295	483	483	319	319	560	560	536	536	NA	NA	NA	NA	624	624	710	710	705	705	801	801	647	647	683	683	860	860	1027	1027
physics of the solid state	4438	4438	4756	4756	4536	4536	4694	4694	4678	4678	4824	4824	4833	4833	4517	4517	4642	4642	4337	4337	4690	4690	4880	4880	4967	4967	4592	4592	4735	4735	4877	4877	5106	5106	5214	5214	5252	5252	5514	5514	6013	6013
low temperature physics	1003	1003	1085	1085	1001	1001	935	935	1008	1008	1055	1055	1044	1044	1047	1047	1162	1162	1101	1101	1242	1242	1156	1156	1150	1150	1103	1103	1226	1226	1443	1443	1412	1412	1496	1496	1308	1308	1545	1545	1768	1768
brazilian journal of medical and biological research	895	895	1008	1008	1119	1119	1255	1255	1453	1453	1701	1701	1830	1830	2043	2043	2225	2225	2738	2738	3059	3059	3568	3568	3680	3680	3924	3924	4087	4087	4101	4101	4318	4318	4241	4241	4325	4325	4568	4568	4846	4846
memorias do instituto oswaldo cruz	797	797	937	937	1281	1281	1299	1299	1443	1443	1714	1714	1805	1805	1928	1928	2284	2284	2858	2858	3215	3215	4080	4080	4980	4980	5385	5385	5194	5194	5144	5144	5757	5757	5899	5899	6113	6113	6172	6172	7059	7059
florida entomologist	535	535	576	576	580	580	732	732	715	715	793	793	884	884	1178	1178	1053	1053	1335	1335	1441	1441	1621	1621	1785	1785	1793	1793	1981	1981	1992	1992	2226	2226	2376	2376	2377	2377	2767	2767	2859	2859
current science	1252	1252	1550	1550	1766	1766	1936	1936	2146	2146	2336	2336	2724	2724	2901	2901	3451	3451	3937	3937	4776	4776	5611	5611	6499	6499	7273	7273	7586	7586	7727	7727	7772	7772	8014	8014	8289	8289	9202	9202	10146	10146
journal of artificial intelligence research	20	20	103	103	182	182	243	243	467	467	483	483	831	831	946	946	1002	1002	1216	1216	1296	1296	1766	1766	2238	2238	1739	1739	1554	1554	1638	1638	1824	1824	2214	2214	2536	2536	3309	3309	3157	3157
grasas y aceites	191	191	311	311	320	320	343	343	415	415	427	427	332	332	357	357	426	426	405	405	470	470	515	515	544	544	559	559	689	689	676	676	942	942	938	938	1007	1007	1068	1068	1168	1168
shock and vibration	35	35	48	48	80	80	86	86	90	90	82	82	108	108	129	129	86	86	155	155	149	149	224	224	240	240	218	218	280	280	320	320	448	448	624	624	848	848	1622	1622	2470	2470
canadian journal of gastroenterology	183	183	188	188	276	276	480	480	585	585	728	728	813	813	856	856	893	893	1032	1032	1075	1075	1233	1233	1225	1225	1279	1279	1402	1402	1537	1537	1747	1747	NA	NA	NA	NA	NA	NA	NA	NA
journal of the brazilian chemical society	95	95	187	187	212	212	249	249	320	320	503	503	523	523	790	790	943	943	1260	1260	2044	2044	2151	2151	2778	2778	2795	2795	3137	3137	3632	3632	3801	3801	3995	3995	4234	4234	4783	4783	5405	5405
journal of the south african veterinary association-tydskrif van die suid-afrikaanse veterinere vereniging	307	307	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	380	380	447	447	454	454	504	504	552	552	540	540	506	506	641	641	603	603	540	540	634	634	NA	NA	NA	NA	NA	NA	NA	NA
annales academiae scientiarum fennicae-mathematica	283	283	363	363	381	381	377	377	418	418	375	375	375	375	373	373	412	412	443	443	494	494	550	550	666	666	836	836	721	721	740	740	791	791	960	960	919	919	961	961	1100	1100
revista de saude publica	236	236	169	169	219	219	290	290	257	257	302	302	355	355	474	474	607	607	719	719	991	991	2780	2780	2515	2515	2721	2721	2953	2953	3042	3042	3158	3158	3035	3035	3164	3164	3542	3542	4097	4097
psicothema	46	46	58	58	89	89	144	144	167	167	473	473	232	232	318	318	508	508	654	654	603	603	913	913	886	886	1138	1138	1322	1322	1513	1513	1601	1601	1592	1592	1818	1818	2174	2174	2759	2759
